ontology	label	description	url	homepage_url	ols_url	ontology_iri	version_iri	last_loaded
idomal	Malaria Ontology	An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.	https://www.vectorbase.org/ontology-browser	https://www.vectorbase.org/ontology-browser	https://www.ebi.ac.uk/ols4/ontologies/idomal	idomal	http://purl.obolibrary.org/obo/idomal/2015-03-16/idomal.owl	2026-03-01T05:10:05.000397218
ino	INO: Interaction Network Ontology	he Interaction Network Ontology (INO) is an ontology in the domain of interactions and interaction networks. INO represents general and species-neutral types of interactions and interaction networks, and their related elements and relations. INO is a community-driven ontology, aligns with BFO, and is developed by following the OBO Foundry principles.	https://github.com/INO-ontology/ino	https://github.com/INO-ontology/ino	https://www.ebi.ac.uk/ols4/ontologies/ino	ino		2026-03-01T04:46:52.224781578
kisao	Kinetic Simulation Algorithm Ontology	A classification of algorithms for simulating biology, their parameters, and their outputs	https://github.com/SED-ML/KiSAO	https://github.com/SED-ML/KiSAO	https://www.ebi.ac.uk/ols4/ontologies/kisao	kisao		2026-03-01T05:09:11.694821629
labo	clinical LABoratory Ontology	LABO is an ontology of informational entities formalizing clinical laboratory tests prescriptions and reporting documents.	https://github.com/OpenLHS/LABO	https://github.com/OpenLHS/LABO	https://www.ebi.ac.uk/ols4/ontologies/labo	labo	http://purl.obolibrary.org/obo/labo/2021-06-08/labo.owl	2026-03-01T04:46:52.374943897
lepao	Lepidoptera Anatomy Ontology	The Lepidoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of moths and butterflies in biodiversity research.	https://github.com/insect-morphology/lepao	https://github.com/insect-morphology/lepao	https://www.ebi.ac.uk/ols4/ontologies/lepao	lepao	http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl	2026-03-01T04:46:52.626489447
lifestylefactors	Lifestyle Factors Ontology	In this ontology, we defined nine distinct categories that encompass various aspects of lifestyle factors (LSFs), creating a unified Lifestyle Factors Ontology (LSFO) across these categories. Within the context of lifestyle, we have identified nine categories that can collectively describe all LSFs, namely: 1-Nutrition, a category that covers different branches such as dietary habits, food groups, food processing and preparation, macronutrients, and micronutrients, among others. 2-Socioeconomic factors, which includes social and economic conditions such as income, wealth, education and socioeconomic status. 3-Environmental exposures, includes exposure to various environmental factors, such as air pollution, water quality, and workplace hazards, that can impact an individual’s health. 4-Substance use, covers concepts such as smoking, as well as illicit drug use. 5-Physical activities, includes regular exercise and physically demanding activities like leisure time, occupational, and household physical activities. 6-Non-physical leisure time activities, describes any activity an individual might engage in during their free time that is not a physical activity. 7-Personal care products and cosmetic procedures, covers activities related to hygiene, use of cosmetic and cleaning products as well as invasive procedures that people undergo to improve their appearance, such as cosmetic surgery. 8-Sleep, covers sleep quality, stages, and habits. 9-Mental health practices, includes the behaviors and habits related to maintaining good mental health and emotional well-being such as meditation, and psychotherapy.	https://bioportal.bioontology.org/ontologies/LSFO	https://bioportal.bioontology.org/ontologies/LSFO	https://www.ebi.ac.uk/ols4/ontologies/lifestylefactors	lifestylefactors		2026-03-01T05:26:05.198270100
lipidmaps	LIPID MAPS		https://lipidmaps.org	https://lipidmaps.org	https://www.ebi.ac.uk/ols4/ontologies/lipidmaps	lipidmaps		2026-03-01T05:16:55.294866541
ma	Mouse adult gross anatomy	A structured controlled vocabulary of the adult anatomy of the mouse (Mus).	https://github.com/obophenotype/adult-mouse-anatomy-ontology	https://github.com/obophenotype/adult-mouse-anatomy-ontology	https://www.ebi.ac.uk/ols4/ontologies/ma	ma	http://purl.obolibrary.org/obo/ma/releases/2026-02-24/ma.owl	2026-03-01T04:46:53.102413933
mamo	Mathematical Modelling Ontology	The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.	http://sourceforge.net/p/mamo-ontology/wiki/Home/	http://sourceforge.net/p/mamo-ontology/wiki/Home/	https://www.ebi.ac.uk/ols4/ontologies/mamo	mamo		2026-03-01T05:09:13.113867029
maxo	Medical Action Ontology	An ontology to represent medically relevant actions, procedures, therapies, interventions, and recommendations.	https://github.com/monarch-initiative/MAxO	https://github.com/monarch-initiative/MAxO	https://www.ebi.ac.uk/ols4/ontologies/maxo	maxo	http://purl.obolibrary.org/obo/maxo/releases/2026-01-15/maxo.owl	2026-03-01T04:46:54.442437412
mba	Mouse Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Mouse Brain Atlas (MBA) StructureGraph mapped to Uberon.	https://purl.brain-bican.org/ontology/mbao	https://purl.brain-bican.org/ontology/mbao	https://www.ebi.ac.uk/ols4/ontologies/mba	mba	https://purl.brain-bican.org/ontology/mbao/releases/2025-10-29/mbao.owl	2026-03-01T05:10:52.796027857
mco	Microbial Conditions Ontology	Microbial Conditions Ontology is an ontology...	https://github.com/microbial-conditions-ontology/microbial-conditions-ontology	https://github.com/microbial-conditions-ontology/microbial-conditions-ontology	https://www.ebi.ac.uk/ols4/ontologies/mco	mco	http://purl.obolibrary.org/obo/mco/releases/2019-05-15/mco.owl	2026-03-01T04:46:57.355201913
mcro	Model Card Report Ontology	An ontology representing the structure of model card reports - reports that describe basic characteristics of machine learning models for the public and consumers.	https://github.com/UTHealth-Ontology/MCRO	https://github.com/UTHealth-Ontology/MCRO	https://www.ebi.ac.uk/ols4/ontologies/mcro	mcro	http://purl.obolibrary.org/obo/mcro/releases/2023-03-07/mcro.owl	2026-03-01T04:46:58.902144176
mesh	Medical Subject Headings	MeSH (Medical Subject Headings) is the National Library of Medicine's controlled vocabulary thesaurus. It consists of sets of terms naming descriptors in a hierarchical structure that permits searching at various levels of specificity. This thesaurus is used by NLM for indexing articles from biomedical journals, cataloguing of books, documents, etc.	https://www.nlm.nih.gov/	https://www.nlm.nih.gov/	https://www.ebi.ac.uk/ols4/ontologies/mesh	mesh	https://w3id.org/biopragmatics/resources/mesh/2025/mesh.ofn	2026-03-01T05:26:15.654445060
mf	Mental Functioning Ontology	The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.	https://github.com/jannahastings/mental-functioning-ontology	https://github.com/jannahastings/mental-functioning-ontology	https://www.ebi.ac.uk/ols4/ontologies/mf	mf	http://purl.obolibrary.org/obo/MF/2025-07-08/MF.owl	2026-03-01T04:46:59.123757735
mfmo	Mammalian Feeding Muscle Ontology	The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors.	https://github.com/rdruzinsky/feedontology	https://github.com/rdruzinsky/feedontology	https://www.ebi.ac.uk/ols4/ontologies/mfmo	mfmo	http://purl.obolibrary.org/obo/mfmo/2013-11-16/mfmo.owl	2026-03-01T05:09:16.094443272
mfoem	Emotion Ontology	An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings.	https://github.com/jannahastings/emotion-ontology	https://github.com/jannahastings/emotion-ontology	https://www.ebi.ac.uk/ols4/ontologies/mfoem	mfoem	http://purl.obolibrary.org/obo/MFOEM/2025-07-31/MFOEM.owl	2026-03-01T04:46:59.286659492
mfomd	Mental Disease Ontology	The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning Ontology (MF).	https://github.com/jannahastings/mental-functioning-ontology	https://github.com/jannahastings/mental-functioning-ontology	https://www.ebi.ac.uk/ols4/ontologies/mfomd	mfomd	http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl	2026-03-01T04:46:59.516751383
mi	Molecular Interactions Controlled Vocabulary	A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions.	https://github.com/HUPO-PSI/psi-mi-CV	https://github.com/HUPO-PSI/psi-mi-CV	https://www.ebi.ac.uk/ols4/ontologies/mi	mi		2026-03-01T04:46:59.874913660
miapa	Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology	"The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information for A Phylogenetic Analysis (MIAPA) metadata reporting standard. The ontology leverages (imports) primarily from the CDAO (Comparative Data Analysis Ontology), PROV (W3C Provenance Ontology), and SWO (Software Ontology, which includes the EDAM ontologies) ontologies. It adds some assertions of its own, as well as some classes and individuals that may eventually get pushed down into one of the respective source ontologies.

This ontology is maintained at http://github.com/miapa/miapa, and requests for changes or additions should be filed at the issue tracker there. The discussion list is at miapa-discuss@googlegroups.com. Further resources about MIAPA can be found at the project's main page at http://evoio.org/wiki/MIAPA."	http://www.evoio.org/wiki/MIAPA	http://www.evoio.org/wiki/MIAPA	https://www.ebi.ac.uk/ols4/ontologies/miapa	miapa		2026-03-01T04:47:00.294640384
micro	Ontology of Prokaryotic Phenotypic and Metabolic Characters	An ontology of prokaryotic phenotypic and metabolic characters	https://github.com/carrineblank/MicrO	https://github.com/carrineblank/MicrO	https://www.ebi.ac.uk/ols4/ontologies/micro	micro		2026-03-01T05:09:18.731686663
miro	Mosquito insecticide resistance	Application ontology for entities related to insecticide resistance in mosquitos	https://www.ebi.ac.uk/ols4/ontologies/miro		https://www.ebi.ac.uk/ols4/ontologies/miro	miro	http://purl.obolibrary.org/obo/miro/releases/2014-05-14/miro.owl	2026-03-01T05:10:06.008693005
mmo	Measurement method ontology	A representation of the variety of methods used to make clinical and phenotype measurements.	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000	https://www.ebi.ac.uk/ols4/ontologies/mmo	mmo	http://purl.obolibrary.org/obo/mmo/2.170/mmo.owl	2026-03-01T04:47:00.476215154
mmusdv	Mouse Developmental Stages	Life cycle stages for Mus Musculus	https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv	https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv	https://www.ebi.ac.uk/ols4/ontologies/mmusdv	mmusdv	http://purl.obolibrary.org/obo/life-stages/releases/2025-01-23/components/mmusdv.owl	2026-03-01T04:47:00.692690086
mod	Protein modification	PSI-MOD is an ontology consisting of terms that describe protein chemical modifications	http://www.psidev.info/MOD	http://www.psidev.info/MOD	https://www.ebi.ac.uk/ols4/ontologies/mod	mod	http://purl.obolibrary.org/obo/mod/1.032.4/mod.owl	2026-03-01T04:47:01.362626369
mondo	Mondo Disease Ontology	A semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology.	https://monarch-initiative.github.io/mondo	https://monarch-initiative.github.io/mondo	https://www.ebi.ac.uk/ols4/ontologies/mondo	mondo	http://purl.obolibrary.org/obo/mondo/releases/2026-02-03/mondo-international.owl	2026-03-01T04:47:19.118259479
mop	MOP	MOP is the molecular process ontology. It contains the molecular processes that underlie the name reaction ontology RXNO, for example cyclization, methylation and demethylation.	https://github.com/rsc-ontologies/rxno	https://github.com/rsc-ontologies/rxno	https://www.ebi.ac.uk/ols4/ontologies/mop	mop	http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl	2026-03-01T04:47:41.467061905
mp	The Mammalian Phenotype Ontology	The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Anna V. Anagnostopoulos, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Project, Mouse Genome Informatics (MGI), The Jackson Laboratory, Bar Harbor, ME. This file contains pre-coordinated phenotype terms, definitions and synonyms that can be used to describe mammalian phenotypes. The ontology is represented as a directed acyclic graph (DAG). It organizes phenotype terms into major biological system headers such as nervous system and respiratory system.  This ontology is currently under development. Weekly updates are available at the Mouse Genome Informatics (MGI) ftp site (ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno) as well as the OBO Foundry site (http://obofoundry.org/). Japanese labels of MP were created by the MP Japanese Translation Project (https://github.com/dbcls/MP_Japanese). Questions, comments and suggestions are welcome, and should be directed to pheno@jax.org, Susan.Bello@jax.org or to GitHub tracker (https://github.com/mgijax/mammalian-phenotype-ontology/issues) MGD is funded by NIH/NHGRI grant HG000330.	https://www.informatics.jax.org/vocab/mp_ontology/	https://www.informatics.jax.org/vocab/mp_ontology/	https://www.ebi.ac.uk/ols4/ontologies/mp	mp	http://purl.obolibrary.org/obo/mp/releases/2026-02-17/mp-international.owl	2026-03-01T04:47:49.391565599
mpath	Mouse pathology ontology	A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes	http://www.pathbase.net	http://www.pathbase.net	https://www.ebi.ac.uk/ols4/ontologies/mpath	mpath	http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl	2026-03-01T04:48:00.647129948
mpio	Minimum PDDI Information Ontology	An ontology of minimum information regarding potential drug-drug interaction information.	https://github.com/MPIO-Developers/MPIO	https://github.com/MPIO-Developers/MPIO	https://www.ebi.ac.uk/ols4/ontologies/mpio	mpio	http://purl.obolibrary.org/obo/mpio/release/2023-10-17/mpio.owl	2026-03-01T04:48:00.810147167
mro	MHC Restriction Ontology	The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions.	https://github.com/IEDB/MRO	https://github.com/IEDB/MRO	https://www.ebi.ac.uk/ols4/ontologies/mro	mro	http://purl.obolibrary.org/obo/mro/2026-02-10/mro.owl	2026-03-01T04:48:05.754687599
ms	Mass spectrometry ontology	A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.	http://www.psidev.info/groups/controlled-vocabularies	http://www.psidev.info/groups/controlled-vocabularies	https://www.ebi.ac.uk/ols4/ontologies/ms	ms	http://purl.obolibrary.org/obo/ms/4.1.236/ms.owl	2026-03-01T04:48:13.623901072
msio	Metabolomics Standards Initiative Ontology (MSIO)	an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.	https://github.com/MSI-Metabolomics-Standards-Initiative/MSIO	https://github.com/MSI-Metabolomics-Standards-Initiative/MSIO	https://www.ebi.ac.uk/ols4/ontologies/msio	msio		2026-03-01T05:17:03.265114010
nbo	Neuro Behavior Ontology	An ontology of human and animal behaviours and behavioural phenotypes	https://github.com/obo-behavior/behavior-ontology/	https://github.com/obo-behavior/behavior-ontology/	https://www.ebi.ac.uk/ols4/ontologies/nbo	nbo	http://purl.obolibrary.org/obo/nbo/releases/2023-07-04/nbo.owl	2026-03-01T04:48:14.540563485
ncbitaxon	NCBI organismal classification	An ontology representation of the NCBI organismal taxonomy	https://github.com/obophenotype/ncbitaxon	https://github.com/obophenotype/ncbitaxon	https://www.ebi.ac.uk/ols4/ontologies/ncbitaxon	ncbitaxon	http://purl.obolibrary.org/obo/ncbitaxon/2025-12-03/ncbitaxon.owl	2026-03-01T04:50:11.484686218
ncit	NCI Thesaurus OBO Edition	NCI Thesaurus (NCIt)is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. The NCIt OBO Edition aims to increase integration of the NCIt with OBO Library ontologies. NCIt OBO Edition releases should be considered experimental.	https://github.com/ncit-obo-org/ncit-obo-edition	https://github.com/ncit-obo-org/ncit-obo-edition	https://www.ebi.ac.uk/ols4/ontologies/ncit	ncit	http://purl.obolibrary.org/obo/ncit/releases/2025-08-06/ncit.owl	2026-03-01T04:57:24.891295999
ncro	Non-Coding RNA Ontology	An ontology for non-coding RNA, both of biological origin, and engineered.	http://omnisearch.soc.southalabama.edu/w/index.php/Ontology	http://omnisearch.soc.southalabama.edu/w/index.php/Ontology	https://www.ebi.ac.uk/ols4/ontologies/ncro	ncro	http://purl.obolibrary.org/obo/ncro/2015-12-10/ncro-combined.owl	2026-03-01T04:58:49.690058945
ngbo	Next generation biobanking ontology(NGBO).	Next Generation Biobanking Ontology (NGBO) is an open application ontology representing contextual data about omics digital assets in biobank. The ontology focuses on capturing the information about three main activities: wet bench analysis used to generate omics data, bioinformatics analysis used to analyze and interpret data, and data management.	https://github.com/Dalalghamdi/NGBO	https://github.com/Dalalghamdi/NGBO	https://www.ebi.ac.uk/ols4/ontologies/ngbo	ngbo	http://purl.obolibrary.org/obo/ngbo/2024-08-27/ngbo.owl	2026-03-01T04:58:50.145108542
nmrcv	nuclear magnetic resonance CV	This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is a vendor agnostic open access NMR raw data standard. Its primaly role is analogous to the mzCV for the PSI-approved mzML XML format. It uses BFO2.0 as its Top level. This CV was derived from two predecessors (The NMR CV from the David Wishart Group, developed by Joseph Cruz) and the MSI nmr CV developed by Daniel Schober at the EBI.  This simple taxonomy of terms (no DL semantics used) serves the nuclear magnetic resonance markup language (nmrML) with meaningful descriptors to amend the nmrML xml file with CV terms. Metabolomics scientists are encouraged to use this CV to annotrate their raw and experimental context data, i.e. within nmrML. The approach to have an exchange syntax mixed of an xsd and CV stems from the PSI mzML effort. The reason to branch out from an xsd into a CV is, that in areas where the terminology is likely to change faster than the nmrML xsd could be updated and aligned, an externally and decentrallised maintained CV can accompensate for such dynamics in a more flexible way. A second reason for this set-up is that semantic validity of CV terms used in an nmrML XML instance (allowed CV terms, position/relation to each other, cardinality) can be validated by rule-based proprietary validators:  By means of cardinality specifications and XPath expressions defined in an XML mapping file (an instances of the CvMappingRules.xsd ), one can define what ontology terms are allowed in a specific location of the data model.	http://nmrml.org/cv/	http://nmrml.org/cv/	https://www.ebi.ac.uk/ols4/ontologies/nmrcv	nmrcv	http://nmrml.org/cv/v1.1.0/nmrCV.owl	2026-03-01T05:23:19.801007632
nomen	NOMEN - A nomenclatural ontology for biological names	NOMEN is a nomenclatural ontology for biological names (not concepts).  It encodes the goverened rules of nomenclature.	https://github.com/SpeciesFileGroup/nomen	https://github.com/SpeciesFileGroup/nomen	https://www.ebi.ac.uk/ols4/ontologies/nomen	nomen		2026-03-01T04:58:50.589907898
oae	OAE: Ontology of Adverse Events	The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support computer-assisted reasoning.  OAE is a community-based ontology. Its development follows the OBO Foundry principles. Vaccine adverse events have been used as an initial testing use case. OAE also studies adverse events associated with the administration of drug and nutritional products, the operation of surgeries, and the usage of medical devices, etc.	https://github.com/OAE-ontology/OAE/	https://github.com/OAE-ontology/OAE/	https://www.ebi.ac.uk/ols4/ontologies/oae	oae		2026-03-01T04:58:51.389525021
oarcs	Ontology of Arthropod Circulatory Systems	OArCS is an ontology describing the Arthropod ciruclatory system.	https://github.com/aszool/oarcs	https://github.com/aszool/oarcs	https://www.ebi.ac.uk/ols4/ontologies/oarcs	oarcs	http://purl.obolibrary.org/obo/hao/2019-04-18/hao.owl	2026-03-01T04:58:53.088534321
oba	Ontology of Biological Attributes (OBA)	A collection of biological attributes (traits) covering all kingdoms of life. Interoperable with VT (vertebrate trait ontology) and TO (plant trait ontology). Extends PATO.	https://github.com/obophenotype/bio-attribute-ontology	https://github.com/obophenotype/bio-attribute-ontology	https://www.ebi.ac.uk/ols4/ontologies/oba	oba	http://purl.obolibrary.org/obo/oba/releases/2025-10-29/oba.owl	2026-03-01T04:59:03.695704643
obcs	OBCS: Ontology of Biological and Clinical Statistics	OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the Ontology for Biomedical Investigations (OBI). OBCS imports all possible biostatistics terms in OBI and includes many additional biostatistics terms, some of which were proposed and discussed in the OBI face-to-face workshop in Ann Arbor in 2012.	https://github.com/obcs/obcs	https://github.com/obcs/obcs	https://www.ebi.ac.uk/ols4/ontologies/obcs	obcs	http://purl.obolibrary.org/obo/obcs/2023-12-08/obcs.owl	2026-03-01T04:59:23.333324663
obi	Ontology for Biomedical Investigations	An ontology for representing biomedical investigations, including study designs, the collection and preparation of the targets of investigation, assays, instrumentation and reagents used, as well as the data generated and the types of analysis performed on the data to reach conclusions, and their documentation.	http://obi-ontology.org	http://obi-ontology.org	https://www.ebi.ac.uk/ols4/ontologies/obi	obi	http://purl.obolibrary.org/obo/obi/2025-12-18/obi.owl	2026-03-01T04:59:24.046350879
obib	Ontology for BIoBanking (OBIB)	The Ontology for Biobanking (OBIB) is an ontology for the annotation and modeling of the activities, contents, and administration of a biobank. Biobanks are facilities that store specimens, such as bodily fluids and tissues, typically along with specimen annotation and clinical data. OBIB is based on a subset of the Ontology for Biomedical Investigation (OBI), has the Basic Formal Ontology (BFO) as its upper ontology, and is developed following OBO Foundry principles. The first version of OBIB resulted from the merging of two existing biobank-related ontologies, OMIABIS and biobank ontology.	https://github.com/biobanking/biobanking	https://github.com/biobanking/biobanking	https://www.ebi.ac.uk/ols4/ontologies/obib	obib	http://purl.obolibrary.org/obo/obib/2023-04-05/obib.owl	2026-03-01T04:59:25.235092032
occo	Occupation Ontology (OccO)	This Occupaton Ontology (OccO) is an ontology in the domain of human occupaitons. Current OccO version is developed based on the US Bureau of Labor Statistics Standard Occupation Classification (SOC) and the related O*Net System. The OccO development follows the principles of the Open Biological and Biomedical (OBO) Foundry.	https://github.com/Occupation-Ontology/OccO	https://github.com/Occupation-Ontology/OccO	https://www.ebi.ac.uk/ols4/ontologies/occo	occo	http://purl.obolibrary.org/obo/occo/releases/2025-10-06/occo.owl	2026-03-01T04:59:25.912641019
ogg	OGG: Ontology of Genes and Genomes	OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selected organisms, including human, two viruses (HIV and influenza virus), and bacteria (B. melitensis strain 16M, E. coli strain K-12 substrain MG1655, M. tuberculosis strain H37Rv, and P. aeruginosa strain PAO1). More OGG information for other organisms (e.g., mouse, zebrafish, fruit fly, yeast, etc.) may be found in other OGG subsets.	https://bitbucket.org/hegroup/ogg	https://bitbucket.org/hegroup/ogg	https://www.ebi.ac.uk/ols4/ontologies/ogg	ogg		2026-03-01T04:59:35.353065906
ogms	Ontology for General Medical Science	"The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'disease', 'disorder', 'disease course', 'diagnosis', 'patient', and 'healthcare provider'. OGMS uses the Basic Formal Ontology (BFO) as an upper-level ontology. The scope of OGMS is restricted to humans, but many terms can be applied to a variety of organisms. OGMS provides a formal theory of disease that can be further elaborated by specific disease ontologies. This theory is implemented using OWL-DL and OBO Relation Ontology relations and is available in OWL and OBO formats.

OGMS is based on the papers Toward an Ontological Treatment of Disease and Diagnosis and On Carcinomas and Other Pathological Entities. The ontology attempts to address some of the issues raised at the Workshop on Ontology of Diseases (Dallas, TX) and the Signs, Symptoms, and Findings Workshop(Milan, Italy). OGMS was formerly called the clinical phenotype ontology. Terms from OGMS hang from the Basic Formal Ontology."	https://github.com/OGMS/ogms	https://github.com/OGMS/ogms	https://www.ebi.ac.uk/ols4/ontologies/ogms	ogms	http://purl.obolibrary.org/obo/ogms/2021-08-19/ogms.owl	2026-03-01T04:59:47.760087372
ogsf	Ontology of Genetic Susceptibility Factor	An application ontology to represent genetic susceptibility to a specific disease, adverse event, or a pathological process.	https://github.com/linikujp/OGSF	https://github.com/linikujp/OGSF	https://www.ebi.ac.uk/ols4/ontologies/ogsf	ogsf		2026-03-01T05:09:22.654186889
ohd	Oral Health and Disease Ontology	The Oral Health and Disease Ontology is used for representing the diagnosis and treatment of dental maladies.	https://purl.obolibrary.org/obo/ohd/home	https://purl.obolibrary.org/obo/ohd/home	https://www.ebi.ac.uk/ols4/ontologies/ohd	ohd	http://purl.obolibrary.org/obo/ohd/releases/2025-06-28/ohd.owl	2026-03-01T04:59:48.129037062
ohmi	OHMI: Ontology of Host-Microbiome Interactions	OHMI is a biomedical ontology that represents the entities and relations in the domain of host-microbiome interactions.	https://github.com/ohmi-ontology/ohmi	https://github.com/ohmi-ontology/ohmi	https://www.ebi.ac.uk/ols4/ontologies/ohmi	ohmi	http://purl.obolibrary.org/obo/ohmi/2025-12-28/ohmi.owl	2026-03-01T04:59:48.941772777
ohpi	OHPI: Ontology of Host-Pathogen Interactions	OHPI is a biomedical ontology in the area of host-pathogen interactions. OHPI is developed by following the OBO Foundry Principles (e.g., openness and collaboration).	https://github.com/OHPI/ohpi	https://github.com/OHPI/ohpi	https://www.ebi.ac.uk/ols4/ontologies/ohpi	ohpi	http://purl.obolibrary.org/obo/ohpi/releases/2019-09-30	2026-03-01T04:59:50.954771255
oio	oio		https://www.ebi.ac.uk/ols4/ontologies/oio		https://www.ebi.ac.uk/ols4/ontologies/oio	oio		2026-03-01T05:17:01.384579486
olatdv	Medaka Developmental Stages	Life cycle stages for Medaka	https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv	https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv	https://www.ebi.ac.uk/ols4/ontologies/olatdv	olatdv		2026-03-01T05:09:22.775607941
om	Ontology of units of Measure (OM)	The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research. It has a strong focus on units, quantities, measures, and dimensions.	https://github.com/HajoRijgersberg/OM	https://github.com/HajoRijgersberg/OM	https://www.ebi.ac.uk/ols4/ontologies/om	om		2026-03-01T05:23:37.379576805
omiabis	Ontologized MIABIS	An ontological version of MIABIS (Minimum Information About BIobank data Sharing)	https://github.com/OMIABIS/omiabis-dev	https://github.com/OMIABIS/omiabis-dev	https://www.ebi.ac.uk/ols4/ontologies/omiabis	omiabis		2026-03-01T05:10:20.477222198
omit	Ontology for MIRNA Target	Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain	http://omit.cis.usouthal.edu/	http://omit.cis.usouthal.edu/	https://www.ebi.ac.uk/ols4/ontologies/omit	omit	http://purl.obolibrary.org/obo/omit/dev/omit.owl	2026-03-01T04:59:56.700941391
omo	OBO Metadata Ontology	An ontology specifies terms that are used to annotate ontology terms for all OBO ontologies. The ontology was developed as part of Information Artifact Ontology (IAO).	https://github.com/information-artifact-ontology/ontology-metadata	https://github.com/information-artifact-ontology/ontology-metadata	https://www.ebi.ac.uk/ols4/ontologies/omo	omo	http://purl.obolibrary.org/obo/omo/releases/2025-06-18/omo.owl	2026-03-01T05:00:04.597373069
omp	Ontology of Microbial Phenotypes	An ontology of phenotypes covering microbes	http://microbialphenotypes.org	http://microbialphenotypes.org	https://www.ebi.ac.uk/ols4/ontologies/omp	omp	http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl	2026-03-01T05:00:04.881395540
omrse	Ontology for Modeling and Representation of Social Entities	The Ontology for Modeling and Representation of Social Entities (OMRSE) is an OBO Foundry ontology that represents the various entities that arise from human social interactions, such as social acts, social roles, social groups, and organizations.	https://github.com/mcwdsi/OMRSE/wiki/OMRSE-Overview	https://github.com/mcwdsi/OMRSE/wiki/OMRSE-Overview	https://www.ebi.ac.uk/ols4/ontologies/omrse	omrse	http://purl.obolibrary.org/obo/omrse/releases/2026-01-06/omrse.owl	2026-03-01T05:00:05.409147565
one	Ontology for Nutritional Epidemiology	An ontology to standardize research output of nutritional epidemiologic studies.	https://github.com/cyang0128/Nutritional-epidemiologic-ontologies	https://github.com/cyang0128/Nutritional-epidemiologic-ontologies	https://www.ebi.ac.uk/ols4/ontologies/one	one		2026-03-01T05:00:06.008122092
ons	Ontology for Nutritional Studies	An ontology for description of concepts in the nutritional studies domain.	https://github.com/enpadasi/Ontology-for-Nutritional-Studies	https://github.com/enpadasi/Ontology-for-Nutritional-Studies	https://www.ebi.ac.uk/ols4/ontologies/ons	ons	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/releases/download/2026-02-06/ons.owl	2026-03-01T05:00:06.968928167
